Quarter,Time,Down,ToGo,Location,Detail,PIT,NWE,EPB,EPA
4,07:51,2,6,PIT 21,Rex Burkhead up the middle for 6 yards (tackle by Cameron Heyward),3,30,3.9,4.58
4,07:16,1,10,PIT 15,"Rex Burkhead right tackle for 4 yards (tackle by Joe Haden). Penalty on Shaq Mason: Offensive Holding, 10 yards",3,30,4.58,4.17
4,06:51,1,16,PIT 21,Tom Brady pass incomplete short right intended for Julian Edelman,3,30,4.17,3.21
4,06:47,2,16,PIT 21,Tom Brady pass incomplete short middle intended for Rex Burkhead,3,30,3.21,2.54
4,06:45,3,16,PIT 21,Tom Brady pass incomplete short left intended for Julian Edelman,3,30,2.54,2.06
4,06:41,4,16,PIT 21,Stephen Gostkowski 39 yard field goal good,3,33,2.06,3
4,06:38,,,NWE 35,"Stephen Gostkowski kicks off 65 yards, touchback.",3,33,0,0.61
4,06:38,1,10,PIT 25,James Conner right end for no gain (tackle by Jamie Collins and Duron Harmon),3,33,0.61,0.06
4,06:06,2,10,PIT 25,"Penalty on PIT: False Start, 5 yards (no play)",3,33,0.06,-0.61
4,05:44,2,15,PIT 20,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 26 yards (tackle by Devin McCourty),3,33,-0.61,1.99
4,05:04,1,10,PIT 46,Ben Roethlisberger pass complete short left to Donte Moncrief for 3 yards (tackle by Jason McCourty),3,33,1.99,1.86
4,04:33,2,7,PIT 49,Ben Roethlisberger pass incomplete deep right intended for James Washington,3,33,1.86,1.16
4,04:28,3,7,PIT 49,"Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster (defended by J.C. Jackson). Penalty on J.C. Jackson: Defensive Pass Interference, 10 yards (no play)",3,33,1.16,2.85
4,04:24,1,10,NWE 41,Ben Roethlisberger pass deep right intended for James Washington is intercepted by Devin McCourty at NE-0 and returned for no gain,3,33,2.85,-0.28
4,04:17,1,10,NWE 20,Sony Michel up the middle for no gain (tackle by Bud Dupree),3,33,0.28,-0.27
4,03:42,2,10,NWE 20,Sony Michel left end for -5 yards (tackle by Bud Dupree),3,33,-0.27,-1.86
4,02:59,3,15,NWE 15,James White up the middle for 2 yards (tackle by Mark Barron and Cameron Heyward),3,33,-1.86,-2.32
4,02:13,4,13,NWE 17,"Jake Bailey punts 38 yards, fair catch by Ryan Switzer at PIT-45",3,33,-2.32,-1.93
4,02:06,1,10,PIT 45,"Ben Roethlisberger pass complete short left to Jaylen Samuels for 2 yards (tackle by Ja'Whaun Bentley). Penalty on David DeCastro: Unnecessary Roughness, 15 yards",3,33,1.93,-0.37
4,02:00,2,23,PIT 32,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 9 yards (tackle by Chase Winovich),3,33,-0.37,0.17
4,01:22,3,14,PIT 41,Ben Roethlisberger pass complete short left to Vance McDonald for 19 yards (tackle by Jason McCourty),3,33,0.17,2.92
4,00:49,1,10,NWE 40,Ben Roethlisberger pass incomplete short right intended for Vance McDonald,3,33,2.92,2.37
4,00:46,2,10,NWE 40,Ben Roethlisberger pass incomplete short left intended for Jaylen Samuels,3,33,2.37,1.68
4,00:42,3,10,NWE 40,Ben Roethlisberger pass complete short left to Diontae Johnson for 8 yards (tackle by Jason McCourty),3,33,1.68,1.3
4,00:36,4,2,NWE 32,Ben Roethlisberger pass complete short right to James Washington for 6 yards (tackle by Jamie Collins),3,33,1.3,3.84
4,00:12,1,10,NWE 26,Ben Roethlisberger pass incomplete short middle intended for Vance McDonald (defended by Devin McCourty),3,33,3.84,3.3
4,00:06,,,,Timeout #2 by New England Patriots,,,,
4,00:06,2,10,NWE 26,Ben Roethlisberger pass complete short left to Vance McDonald for 21 yards (tackle by Jason McCourty and Stephon Gilmore),3,33,3.3,2.46
